species,accession,code,subgenus,location,lat,long
carica,reference,reference,Ficus,Japan,,
tonduzii,C48_tonduzii,C48,Pharmacosycea,Panama,,
tonduzii,Fton-1,1,Pharmacosycea,Belize,,
maxima,Fmax-1,1,Pharmacosycea,?,,
maxima,C18_maxima,C18,Pharmacosycea,Panama,,
maxima,C17_maxima,C17,Pharmacosycea,Panama,,
maxima,A94_maxima,A94,Pharmacosycea,Panama,,
maxima,Fmax-2,2,Pharmacosycea,?,,
maxima,B119_maxima,B119,Pharmacosycea,Panama,,
maxima,B120_maxima,B120,Pharmacosycea,Panama,,
maxima,B123_maxima,B123,Pharmacosycea,Panama,,
yoponensis,Fyop-1,1,Pharmacosycea,?,,
yoponensis,Fyop-3,3,Pharmacosycea,?,,
yoponensis,C46_yoponensis,C46,Pharmacosycea,Panama,,
yoponensis,Fyop-2,2,Pharmacosycea,?,,
yoponensis,C47_yoponensis,C47,Pharmacosycea,Panama,,
yoponensis,C45_yoponensis,C47,Pharmacosycea,Panama,,
insipida,B127_insipida,B127,Pharmacosycea,Panama,,
insipida,B128_insipida,B128,Pharmacosycea,Panama,,
insipida,A95_insipida,A95,Pharmacosycea,Panama,,
insipida,C15_insipida,C15,Pharmacosycea,Panama,,
insipida,B126_insipida,B126,Pharmacosycea,Panama,,
insipida,C50_insipida,C50,Pharmacosycea,Panama,,
insipida,Fins-4,4,Pharmacosycea,Mexico,,
insipida,Fins-3,3,Pharmacosycea,Mexico,,
insipida,Fins-5,5,Pharmacosycea,Mexico,,
insipida,Fins-6,6,Pharmacosycea,Mexico,,
tonduzii,Fton-4,4,Pharmacosycea,?,,
hybrid-gxm,B130_glabrataXmaxima,B130,Pharmacosycea,Panama,,
tonduzii,Fton-5,5,Pharmacosycea,?,,
hybrid-ixm,FinsXmax-1,1,Pharmacosycea,?,,
tonduzii,Fton-2,2,Pharmacosycea,?,,
glabrata,A96_glabrata,A96,Pharmacosycea,Panama,,
hybrid-gxm,B131_glabrataXmaxima,B131,Pharmacosycea,Panama,,
glabrata,B133_glabrata,B133,Pharmacosycea,Panama,,
glabrata,B134_glabrata,B134,Pharmacosycea,Panama,,
tonduzii,Fton-3,3,Pharmacosycea,?,,
glabrata,A97_glabrata,A97,Pharmacosycea,Panama,,
glabrata,Fgla-2,2,Pharmacosycea,?,,
petiolaris,Fpet-1,1,Urostigma,?,,
petiolaris,Fpet-2,2,Urostigma,?,,
petiolaris,Fpet-3,3,Urostigma,?,,
petiolaris,Fpet-4,4,Urostigma,?,,
petiolaris,Fpet-5,5,Urostigma,?,,
petiolaris,Fpet-6,6,Urostigma,?,,
hybrid-dxn,FdavXnym-1,1,Urostigma,Panama,,
citrifolia,Fcit-2,2,Urostigma,Florida,,
citrifolia,Fcit-3,3,Urostigma,Florida,,
pertusa,Fpert-3,3,Urostigma,Mexico,,
pertusa,Fpert-2,2,Urostigma,Mexico,,
pertusa,Fpert-1,1,Urostigma,Belize,,
pertusa,C28_pertusa,C28,Urostigma,Panama,,
pertusa,A65_pertusa,A65,Urostigma,Panama,,
pertusa,Fpert-5,5,Urostigma,Panama,,
don?,Fdon-3,3,Urostigma,?,,
perforata,A85_perforata,A85,Urostigma,Panama,,
perforata,Fperf-2,2,Urostigma,?,,
perforata,C51_perforata,C51,Urostigma,Panama,,
perforata,A84_perforata,A84,Urostigma,Panama,,
perforata,A82_perforata,A82,Urostigma,Panama,,
perforata,A83_perforata,A83,Urostigma,Panama,,
nymphaeifolia,A41_nymphaeifolia,A41,Urostigma,Panama,,
nymphaeifolia,A42_nymphaeifolia,A42,Urostigma,Panama,,
nymphaeifolia,C19_nymphaeifolia,C19,Urostigma,Panama,,
obtusifolia,C22_obtusifolia,C22,Urostigma,Panama,,
obtusifolia,B102_obtusifolia,B102,Urostigma,Panama,,
obtusifolia,C24_obtusifolia,C24,Urostigma,Panama,,
obtusifolia,Fobt-3,3,Urostigma,?,,
bullenei,A70_bullenei,A70,Urostigma,Panama,,
bullenei,A67_bullenei,A67,Urostigma,Panama,,
popenoei,C25_popenoei,C25,Urostigma,Panama,,
popenoei,C26_popenoei,C26,Urostigma,Panama,,
popenoei,C27_popenoei,C27,Urostigma,Panama,,
popenoei,Fpop-3,3,Urostigma,Panama,,
popenoei,Fpop-4,4,Urostigma,Panama,,
popenoei,Fpop-5,5,Urostigma,Panama,,
citrifolia,Fcit-4,4,Urostigma,Belize,,
dugandii,Fdug-1,1,Urostigma,Belize,,
paraensis,Fpar-1,1,Urostigma,Belize,,
citrifolia,Fcit-6,6,Urostigma,Panama,,
citrifolia,Fcit-5,5,Urostigma,Panama,,
paraensis,A05_paraensis,A06,Urostigma,Panama,,
paraensis,A02_paraensis,A02,Urostigma,Panama,,
paraensis,Fpar-3,3,Urostigma,?,,
paraensis,Fpar-2,2,Urostigma,?,,
paraensis,A04_paraensis,A04,Urostigma,Panama,,
turbinata,Ftur-4,4,Urostigma,?,,
colubrinae,C04_colubrinae,C04,Urostigma,Panama,,
colubrinae,A77_colubrinae,A77,Urostigma,Panama,,
colubrinae,C5_colubrinae,C5,Urostigma,Panama,,
costaricana,Fcos-1,1,Urostigma,?,,
costaricana,C11_costaricana,C11,Urostigma,Panama,,
unknown,Funk-1,1,Urostigma,?,,
unknown,Funk-2,2,Urostigma,?,,
unknown,Funk-3,3,Urostigma,?,,
dugandii,C49_dugandii,C49,Urostigma,Panama,,
dugandii,A59_dugandii,A59,Urostigma,Panama,,
dugandii,C14_dugandii,C14,Urostigma,Panama,,
gomezii,Fgom-3,3,Urostigma,?,,
triangle,C31_triangle,C31,Urostigma,Panama,,
triangle,Ftria-3,3,Urostigma,?,,
triangle,C30_triangle,C30,Urostigma,Panama,,
trigonata,Ftrig-1,1,Urostigma,Mexico,,
trigonata,Ftrig-2,2,Urostigma,Mexico,,
hybrid-txt,FtrianXtrig-1,1,Urostigma,?,,
triangle,Ftria-2,2,Urostigma,?,,
trigonata,C41_trigonata,C41,Urostigma,Panama,,
trigonata,C39_trigonata,C39,Urostigma,Panama,,
trigonata,C43_trigonata,C43,Urostigma,Panama,,
trigonata,Ftrig-4,4,Urostigma,?,,
trigonata,Ftrig-3,3,Urostigma,?,,
trigonata,C36_trigonata,C36,Urostigma,Panama,,
trigonata,C37_trigonata,C37,Urostigma,Panama,,
aurea,Faur-1,1,Urostigma,Florida,,
aurea,Faur-2,2,Urostigma,?,,
dav,Fdav-2,2,Urostigma,Panama,,
cotinifolia,Fcot-2,2,Urostigma,?,,
