species,accession,code,subgenus,location,lat,long,min4loci,droplow,hybrid,clade,notes
carica,reference,reference,Ficus,Japan,,,69807,0,0,ficus,
glabrata,A96_glabrata,A96,Pharmacosycea,Panama,,,18173,0,0,glabrata,
glabrata,B133_glabrata,B133,Pharmacosycea,Panama,,,18088,0,0,glabrata,
glabrata,B134_glabrata,B134,Pharmacosycea,Panama,,,19448,0,0,glabrata,
glabrata,A97_glabrata,A97,Pharmacosycea,Panama,,,15073,0,0,glabrata,
glabrata,Fgla-2,2,Pharmacosycea,?,,,13445,0,0,glabrata,
hybrid-gxm,B130_glabrataXmaxima,B130,Pharmacosycea,Panama,,,19417,0,1,glabrata,
hybrid-gxm,B131_glabrataXmaxima,B131,Pharmacosycea,Panama,,,19918,0,1,glabrata,
hybrid-ixm,FinsXmax-1,1,Pharmacosycea,?,,,11411,0,1,glabrata,
insipida,B127_insipida,B127,Pharmacosycea,Panama,,,16365,0,0,insip-pan,
insipida,B128_insipida,B128,Pharmacosycea,Panama,,,20038,0,0,insip-pan,
insipida,A95_insipida,A95,Pharmacosycea,Panama,,,11889,0,0,insip-pan,
insipida,C15_insipida,C15,Pharmacosycea,Panama,,,18854,0,0,insip-pan,
insipida,B126_insipida,B126,Pharmacosycea,Panama,,,19934,0,0,insip-pan,
insipida,C50_insipida,C50,Pharmacosycea,Panama,,,19719,0,0,insip-pan,
insipida,Fins-4,4,Pharmacosycea,Mexico,,,11347,0,0,insip-mex,
insipida,Fins-3,3,Pharmacosycea,Mexico,,,13558,0,0,insip-mex,
insipida,Fins-5,5,Pharmacosycea,Mexico,,,20915,0,0,insip-mex,
insipida,Fins-6,6,Pharmacosycea,Mexico,,,18748,0,0,insip-mex,
maxima,Fmax-1,1,Pharmacosycea,?,,,13278,0,0,maxima,
maxima,C18_maxima,C18,Pharmacosycea,Panama,,,20694,0,0,maxima,
maxima,C17_maxima,C17,Pharmacosycea,Panama,,,20972,0,0,maxima,
maxima,A94_maxima,A94,Pharmacosycea,Panama,,,16260,0,0,maxima,
maxima,Fmax-2,2,Pharmacosycea,?,,,11554,0,0,maxima,
maxima,B119_maxima,B119,Pharmacosycea,Panama,,,17242,0,0,maxima,
maxima,B120_maxima,B120,Pharmacosycea,Panama,,,17201,0,0,maxima,
maxima,B123_maxima,B123,Pharmacosycea,Panama,,,14631,0,1,maxima,
tonduzii,C48_tonduzii,C48,Pharmacosycea,Panama,,,21026,0,0,tonduzii,
tonduzii,Fton-1,1,Pharmacosycea,Belize,,,16712,0,0,tonduzii,
tonduzii,Fton-4,4,Pharmacosycea,?,,,20964,0,1,ton-glab,probably glabrata-x
tonduzii,Fton-5,5,Pharmacosycea,?,,,11586,0,1,ton-glab,probably glabrata-x
tonduzii,Fton-2,2,Pharmacosycea,?,,,20631,0,1,ton-glab,probably glabrata-x
tonduzii,Fton-3,3,Pharmacosycea,?,,,19829,0,1,ton-glab,probably glabrata-x
yoponensis,Fyop-1,1,Pharmacosycea,?,,,9865,0,0,yopo,
yoponensis,Fyop-3,3,Pharmacosycea,?,,,19685,0,0,yopo,
yoponensis,C46_yoponensis,C46,Pharmacosycea,Panama,,,19957,0,0,yopo,
yoponensis,Fyop-2,2,Pharmacosycea,?,,,18918,0,0,yopo,
yoponensis,C47_yoponensis,C47,Pharmacosycea,Panama,,,19750,0,0,yopo,
yoponensis,C45_yoponensis,C47,Pharmacosycea,Panama,,,20409,0,0,yopo,
aurea,Faur-1,1,Urostigma,Florida,,,2025,0,0,aurea,
aurea,Faur-2,2,Urostigma,?,,,825,0,0,aurea,
bullenei,A70_bullenei,A70,Urostigma,Panama,,,9744,0,0,bull,
bullenei,A67_bullenei,A67,Urostigma,Panama,,,12497,0,0,bull,
bullenei,A72_bullenei,A72,Urostigma,Panama,,,3787,0,0,bull,
bullenei,A71_bullenei,A71,Urostigma,Panama,,,2441,0,0,bull,
bullenei,A69_bullenei,A69,Urostigma,Panama,,,2636,0,0,bull,
bullenei,Fbul-1,1,Urostigma,?,,,1243,1,0,bull,
bullenei,Fbul-3,3,Urostigma,?,,,937,1,0,bull,
bullenei,C01_bullenei,C01,Urostigma,Panama,,,448,1,0,bull,
bullenei,Fbul-4,4,Urostigma,?,,,371,1,0,bull,
bullenei,Fbul-6,6,Urostigma,?,,,756,1,0,bull,
citrifolia,Fcit-2,2,Urostigma,Florida,,,9244,0,0,citr-fl,
citrifolia,Fcit-3,3,Urostigma,Florida,,,16887,0,0,citr-fl,
citrifolia,Fcit-4,4,Urostigma,Belize,,,17581,0,0,citr-bel,
citrifolia,Fcit-6,6,Urostigma,Panama,,,11017,0,0,citr-pan,
citrifolia,Fcit-5,5,Urostigma,Panama,,,20167,0,0,citr-pan,
citrifolia,A16_citrifolia,A16,Urostigma,Panama,,,3045,0,0,citr-pan,
citrifolia,A19_citrifolia,A19,Urostigma,Panama,,,6831,0,0,citr-pan,
citrifolia,C53_citrifolia,C53,Urostigma,Panama,,,4376,0,0,citr-pan,
citrifolia,A18_citrifolia,A18,Urostigma,Panama,,,2979,0,0,citr-pan,
citrifolia,Fcit-7,7,Urostigma,?,,,1185,1,0,citr-pan,
citrifolia,Fcit-1,1,Urostigma,?,,,788,1,0,citr-pan,
citrifolia,C54_citrifolia,C54,Urostigma,Panama,,,291,1,0,citr-pan,
colubrinae,C04_colubrinae,C04,Urostigma,Panama,,,20654,0,0,colubrine,
colubrinae,A77_colubrinae,A77,Urostigma,Panama,,,19096,0,0,colubrine,
colubrinae,C5_colubrinae,C5,Urostigma,Panama,,,23872,0,0,colubrine,
colubrinae,Fcol-4,4,Urostigma,?,,,3022,0,0,colubrine,
